,SwissProt1,SwissProt2
89,Q5S007,A0JLT9
418,Q9UGJ0,A4D0S4
524,Q5S007,A4UGR9
848,P35637,A6NIV6
1046,P04626,A8K1F4
1165,Q9UGJ0,A8K9T9
1246,P37231,A9UHW6
1426,P22314,B4DEE8
1457,P09936,B4DRS2
1520,Q99497,B4E1C1
1778,O60260,E9PAV3
1789,P20226,E9PAV3
1800,Q13148,E9PAV3
1815,Q6ZW49,E9PAV9
1970,O60260,O00116
1993,Q9UGJ0,O00116
2027,Q5S007,O00139
2074,P55072,O00141
2249,Q9UGJ0,O00154
2301,Q5S007,O00159
2302,Q5S007,O00159
2303,Q5S007,O00159
2335,Q5S007,O00160
2419,O43464,O00165
2420,O43464,O00165
2452,P42858,O00165
2581,O60260,O00180
2588,P01023,O00182
2652,P01023,O00193
2732,Q5S007,O00203
2903,P01023,O00214
2927,Q5S007,O00214
3005,P55072,O00221
3068,O60260,O00231
3251,Q5S007,O00231
3252,Q5S007,O00231
3351,O60260,O00232
3593,O60260,O00233
3723,Q04656,O00244
3769,P37231,O00255
4008,P42858,O00267
4165,P20226,O00268
4166,P21675,O00268
4167,P21675,O00268
4173,P42858,O00268
4174,P42858,O00268
4175,P42858,O00268
4198,Q5S007,O00268
4248,Q5S007,O00273
4363,Q9UGJ0,O00299
4462,Q9UGJ0,O00303
4912,P20226,O00410
4913,P20226,O00410
4915,P22314,O00410
4962,Q5S007,O00410
5032,Q13148,O00411
5114,P55072,O00422
5339,Q5S007,O00429
5340,Q5S007,O00429
5400,P04626,O00443
5401,P04626,O00443
5402,P04626,O00443
5549,P04626,O00459
5550,P04626,O00459
5583,P28799,O00459
5607,P55072,O00459
5646,P35637,O00461
5922,P04626,O00483
5959,Q9UGJ0,O00483
5989,O60260,O00487
6302,P42858,O00505
6349,Q5S007,O00506
6364,P10636,O00507
6399,Q9HBA0,O00522
6500,Q13867,O00541
6566,Q9UGJ0,O00541
6582,O95292,O00548
6583,O95292,O00548
6585,P21675,O00548
6586,P21675,O00548
6593,P49768,O00548
6594,P49768,O00548
6810,O95292,O00562
6811,O95292,O00562
6954,Q13148,O00567
6980,Q16637,O00567
6981,Q16637,O00567
7090,O60260,O00571
7202,Q13148,O00571
7229,Q5S007,O00571
7300,Q9UGJ0,O00571
7632,P55072,O00743
7633,P55072,O00743
7719,Q6ZW49,O00746
7725,P04626,O00750
7726,P04626,O00750
7738,P55072,O00750
7793,P22314,O00762
7942,P04626,O14492
8203,P55072,O14519
8423,P42858,O14545
8453,P37840,O14558
8538,Q14203,O14576
8546,Q16637,O14576
8547,Q16637,O14576
8625,P55072,O14579
8629,Q5S007,O14579
8630,Q6ZW49,O14579
8665,Q14203,O14593
8737,P37840,O14613
8808,Q9UGJ0,O14617
8823,P00441,O14618
8824,P00441,O14618
8825,P00441,O14618
8826,P00441,O14618
8827,P00441,O14618
8828,P00441,O14618
8829,P00441,O14618
8830,P00441,O14618
8845,Q04656,O14618
8857,Q5S007,O14625
9141,P42858,O14645
9177,P20226,O14646
9190,P55072,O14646
9251,Q99497,O14647
9303,P04626,O14654
9327,P55072,O14654
9373,Q9BXM7,O14654
9387,Q9UGJ0,O14654
9613,P37840,O14682
9831,Q5S007,O14733
10039,P55072,O14744
10069,Q6ZW49,O14744
10342,P55072,O14757
10463,P01023,O14773
10472,P42858,O14773
10625,P42858,O14776
10626,P42858,O14776
10704,Q14203,O14777
10826,P04626,O14796
10827,P04626,O14796
10924,Q9UGJ0,O14802
10976,O60260,O14818
10977,O60260,O14818
11031,P55072,O14818
11192,O60260,O14867
11258,P01023,O14879
11319,Q16637,O14893
11320,Q16637,O14893
11386,O94827,O14908
11387,O94827,O14908
11568,P37231,O14920
11692,Q9BXM7,O14925
11802,O60260,O14933
11803,O60260,O14933
11811,P22314,O14933
11845,O60260,O14936
11846,O60260,O14936
11847,O60260,O14936
12056,Q5S007,O14950
12181,P49768,O14964
12477,Q5S007,O14974
12478,Q5S007,O14974
12481,Q6ZW49,O14974
12485,Q99497,O14974
12522,Q9NQ11,O14976
12558,O60260,O14979
12598,Q13148,O14979
12647,Q9UGJ0,O14979
12787,P51587,O14980
12967,P20226,O14981
12968,P20226,O14981
12969,P20226,O14981
12970,P20226,O14981
12971,P20226,O14981
12972,P20226,O14981
13143,Q14203,O15020
13179,P55072,O15027
13290,Q13148,O15042
13298,Q6ZW49,O15042
13415,P37231,O15062
13492,Q9UGJ0,O15067
13493,Q9UGJ0,O15067
14010,P55072,O15116
14602,Q5S007,O15143
